year,RCP6,RCP45,RCP26
2020,0.585526129175609,0.536283955636659,0.644648884770666
2030,0.821657857662887,0.930041697001786,0.880780613257944
2040,1.09719845314524,1.2646861378743,1.09719845314524
2050,1.37272959352515,1.45154732751529,1.25450299253992
2060,1.65812240575627,1.70738348950011,1.352694231442
2070,1.99276684662878,2.01247128012632,1.42133827520021
2080,2.38652458799391,2.1402191692747,1.45055454175846
2090,2.7605778958615,2.27781927517185,1.5093463687679
2100,3.0065523859951,2.42527159781776,1.55826706882369
2150,3.82265064341972,2.81770562484045,1.52708414095667
2200,4.26435520928869,3.19046358367293,1.53529116987983
2250,4.63710371301873,3.3661488422227,1.42528105292021
2300,4.8916161606611,3.36452256460199,1.37435587114586
